Score,Source IP,Destination IP,Connections,Avg Bytes,Intvl Range,Size Range,Top Intvl,Top Size,Top Intvl Count,Top Size Count,Intvl Skew,Size Skew,Intvl Dispersion,Size Dispersion
0.874,122.194.229.37,192.168.23.89,43244,60,308072,2583,11,60,7773,43188,0,0,1,0
0.837,61.177.173.32,192.168.23.89,99992,73,190182,3235,1,60,15777,87578,-0.8,0,2,0
0.835,65.254.18.118,192.168.23.89,1224,88,101090,7306,600,60,1052,1201,0,0,0,0
0.835,192.168.23.89,91.189.91.157,522,76,1026,0,2048,0,384,522,0,0,0,0
0.835,192.168.23.89,65.254.18.118,1189,94,100992,2009,600,88,1048,1155,0,0,0,0
0.835,94.250.213.156,192.168.23.89,706,13,98919,40,1,0,253,503,0,0,0,0
0.835,51.222.26.29,192.168.23.89,527,13,118,40,1,0,189,373,0,0,0,0
0.835,176.57.140.106,192.168.23.89,1385,12,108522,40,1,0,352,991,0,0,0,0
0.834,145.102.6.80,192.168.23.89,104,70,259604,4,1,69,9,64,0,0,0,0
0.834,145.102.6.65,192.168.23.89,52,70,260962,4,1,69,7,32,0,0,0,0
0.834,145.102.6.111,192.168.23.89,39,70,952914,4,1,69,5,24,0,0,0,0
0.834,192.168.23.89,147.123.148.14,33,0,427221,0,1,0,6,33,0,0,0,0
0.834,216.194.28.42,192.168.23.89,24,77,423719,7,1,80,4,16,0,0,0,0
0.834,192.168.23.89,151.101.54.132,26,391969,2,0,86400,0,8,26,0,0,0,0
0.834,103.16.205.185,192.168.23.89,27,75,480475,11,1,73,4,14,0,0,0,0
0.834,145.102.6.103,192.168.23.89,26,76,518680,4,1,75,2,16,0,0,0,0
0.834,145.102.6.90,192.168.23.89,26,75,519020,7,1,73,6,16,0,0,0,0
0.834,66.185.123.248,192.168.23.89,33,74,975739,11,1,73,3,19,0,0,0,0
0.834,18.139.204.199,192.168.23.89,53,78,780771,13,1,80,7,43,0,0,0,0
0.834,162.158.180.18,192.168.23.89,30,71,317069,10,1,69,6,21,0,0,0,0
0.834,34.223.46.6,192.168.23.89,23,74,777327,3,1,75,5,22,0,0,0,0
0.834,145.102.6.107,192.168.23.89,26,73,1037506,4,1,72,3,16,0,0,0,0
0.834,3.123.44.162,192.168.23.89,54,78,636051,8,1,80,5,45,0,0,0,0
0.834,104.153.105.82,192.168.23.89,272,1762,356385,147842,1,0,81,189,0,0,0,0
0.834,167.114.92.32,192.168.23.89,48,10,43,40,1,0,14,36,0,0,0,0
0.834,13.211.12.186,192.168.23.89,131,81,1,12,1,80,9,70,0,0,0,0
0.834,3.26.58.245,192.168.23.89,96,80,4,12,1,80,6,66,0,0,0,0
0.834,3.24.1.209,192.168.23.89,73,79,4,7,1,80,6,66,0,0,0,0
