Source IP,Destination IP,Port:Protocol:Service,Duration
97.113.95.12,192.168.23.89,53718:tcp:- 53716:tcp:- 44496:tcp:- 44494:tcp:- 44498:tcp:-,367302
192.168.23.89,97.113.95.12,48984:tcp:- 47468:tcp:- 51152:tcp:- 49894:tcp:- 37530:tcp:-,148167
192.168.23.89,61.177.173.32,3:icmp:-,76807.6
192.168.23.89,122.194.229.37,3:icmp:-,61129.7
192.168.23.89,212.70.149.71,3:icmp:-,7123.61
192.168.23.89,49.235.37.144,3:icmp:-,3567.99
192.168.23.89,106.124.131.214,3:icmp:-,3300.39
192.168.23.89,123.139.156.3,3:icmp:-,3277
192.168.23.89,129.204.254.71,3:icmp:-,3160.45
192.168.23.89,27.72.61.209,3:icmp:-,2701.92
192.168.23.89,103.54.219.106,3:icmp:-,2701.87
192.168.23.89,123.201.166.89,3:icmp:-,2687.91
192.168.23.89,196.27.105.116,3:icmp:-,2684.26
192.168.23.89,112.26.44.112,3:icmp:-,2538.54
192.168.23.89,82.64.150.50,3:icmp:-,2227.46
192.168.23.89,24.92.187.245,3:icmp:-,2213.62
192.168.23.89,103.124.94.169,3:icmp:-,2045.9
192.168.23.89,68.183.229.218,3:icmp:-,2029.64
192.168.23.89,106.53.115.29,3:icmp:-,1825.3
192.168.23.89,132.148.165.94,3:icmp:-,1552.78
192.168.23.89,73.189.183.167,3:icmp:-,1530.31
192.168.23.89,182.61.52.98,3:icmp:-,1430.56
192.168.23.89,103.10.87.54,3:icmp:-,1344.77
192.168.23.89,31.210.20.24,3:icmp:-,1281.82
192.168.23.89,62.234.146.45,3:icmp:-,1243.38
192.168.23.89,119.187.147.110,3:icmp:-,1089.67
192.168.23.89,113.31.144.153,3:icmp:-,857.057
192.168.23.89,202.153.37.194,3:icmp:-,808.067
192.168.23.89,199.195.251.205,3:icmp:-,653.456
65.254.18.118,192.168.23.89,25:tcp:- 25:tcp:smtp,596.079
192.168.23.89,144.7.116.1,3:icmp:-,517.607
192.168.23.89,103.231.46.66,3:icmp:-,459.862
192.168.23.89,203.176.78.120,3:icmp:-,404.299
45.61.142.134,192.168.23.89,53:udp:dns,400.332
51.36.222.139,192.168.23.89,53:udp:dns,400.318
94.154.1.103,192.168.23.89,22:tcp:- 53:udp:dns,400.305
51.39.226.137,192.168.23.89,53:udp:dns,400.26
188.52.9.194,192.168.23.89,53:udp:dns,400.256
93.158.236.31,192.168.23.89,53:udp:dns 22:tcp:-,400.229
217.136.129.117,192.168.23.89,53:udp:dns,400.193
192.168.23.89,165.232.136.87,3:icmp:-,340.347
42.192.234.75,192.168.23.89,22:tcp:ssh 22:tcp:-,311.136
3.87.244.24,192.168.23.89,53:udp:dns,300.421
54.172.236.79,192.168.23.89,53:udp:dns,300.21
34.239.43.216,192.168.23.89,53:udp:dns,300.123
34.203.210.227,192.168.23.89,53:udp:dns,300.057
54.149.159.151,192.168.23.89,53:udp:dns,299.992
92.118.160.57,192.168.23.89,80:tcp:- 80:tcp:http 443:tcp:ssl 443:tcp:-,286.907
192.168.23.89,49.232.39.21,3:icmp:-,268.945
192.168.23.89,49.233.77.12,3:icmp:-,258.82
192.168.23.89,42.192.23.115,3:icmp:-,257.055
192.168.23.89,159.75.113.136,3:icmp:-,249.931
192.168.23.89,81.70.155.151,3:icmp:-,249.432
192.168.23.89,121.4.138.185,3:icmp:-,247.912
192.168.23.89,119.28.83.164,3:icmp:-,237.145
192.168.23.89,42.192.234.75,3:icmp:-,236.981
192.168.23.89,81.70.96.13,3:icmp:-,236.669
192.168.23.89,120.133.136.75,3:icmp:-,234.79
192.168.23.89,111.231.54.33,3:icmp:-,233.799
192.168.23.89,23.129.64.220,3:icmp:-,227.79
192.168.23.89,111.231.108.204,3:icmp:-,227.237
192.168.23.89,120.202.21.189,3:icmp:-,225.629
192.168.23.89,111.132.7.174,3:icmp:-,223.96
192.168.23.89,81.68.217.130,3:icmp:-,223.547
70.37.109.31,192.168.23.89,80:tcp:- 443:tcp:ssl 80:tcp:http,223.389
192.168.23.89,94.142.241.194,3:icmp:-,222.489
192.168.23.89,81.68.216.53,3:icmp:-,221.628
192.168.23.89,217.170.206.138,3:icmp:-,221.393
192.168.23.89,217.170.206.146,3:icmp:-,221.393
